Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,51.939999,53.320000,51.910000,53.230000,53.230000,697100
2018-01-03,53.380001,54.360001,53.380001,54.020000,54.020000,826200
2018-01-04,54.389999,54.610001,53.439999,53.860001,53.860001,640800
2018-01-05,54.080002,54.880001,53.610001,53.889999,53.889999,770900
2018-01-08,52.669998,54.020000,51.889999,53.720001,53.720001,978500
2018-01-09,53.880001,53.880001,52.959999,53.009998,53.009998,631400
2018-01-10,52.730000,52.919998,51.349998,51.470001,51.470001,998800
2018-01-11,51.570000,52.389999,51.380001,52.340000,52.340000,781000
2018-01-12,52.209999,53.360001,52.209999,52.840000,52.840000,531700
2018-01-16,53.410000,54.060001,52.810001,53.209999,53.209999,1011900
2018-01-17,53.209999,54.240002,53.080002,53.990002,53.990002,720200
2018-01-18,53.959999,55.130001,53.959999,54.799999,54.799999,792900
2018-01-19,54.900002,54.900002,52.740002,52.759998,52.759998,1217200
2018-01-22,52.650002,52.740002,51.330002,51.599998,51.599998,1011400
2018-01-23,51.700001,52.000000,50.970001,51.740002,51.740002,983000
2018-01-24,51.750000,52.480000,51.209999,51.650002,51.650002,823200
2018-01-25,52.060001,52.279999,50.419998,50.590000,50.590000,1076300
2018-01-26,51.020000,51.880001,50.610001,51.349998,51.349998,901300
2018-01-29,50.680000,51.419998,50.520000,51.220001,51.220001,1139400
2018-01-30,50.500000,51.310001,49.849998,50.369999,50.369999,1099600
2018-01-31,50.869999,51.070000,49.470001,49.570000,49.570000,562300
2018-02-01,49.799999,50.950001,49.369999,50.750000,50.750000,1471700
2018-02-02,50.139999,50.490002,46.709999,46.750000,46.750000,2744000
2018-02-05,46.060001,46.810001,44.869999,44.889999,44.889999,2934900
2018-02-06,39.619999,46.900002,39.509998,43.400002,43.400002,7554100
2018-02-07,42.910000,43.540001,42.049999,42.119999,42.119999,2303400
2018-02-08,42.209999,43.250000,40.220001,40.270000,40.270000,2666400
2018-02-09,40.799999,42.840000,40.470001,42.380001,42.380001,2393700
2018-02-12,42.599998,42.930000,41.779999,42.570000,42.570000,2055100
2018-02-13,42.250000,42.619999,41.470001,42.150002,42.150002,1583000
